Naziv,Tip,Web,Telefon,e-mail,Notes
MARICOM,Agencija,https://www.pag-tourist-service.hr/,38598449570,maricom@zd.t-com.hr,Ima paket di nudi smještaj i rent; ne nudi vođenu turu
Pag Tours,Agencija,https://www.pagtours.eu/,385914228868,info@pagtours.hr,Ponudit bed&bike ili kupone za ture
Sara tours,Agencija,https://sara-tours.hr/,385981689268,info@sara-tours.hr,Ponudit bed&bike ili kupone za ture
Feel Croatia,Agencija,https://feelcroatia.hr/,38598318845,feelcroatia@feelcroatia.hr,Ponudit bed&bike ili kupone za ture
Magic Croatia,Agencija,https://magic-croatia.hr/,385916194949,info@magic-croatia.hr,"Ima izlistane vođene ture po okolici zadra, ponudit i pag"
Romeo&Juliet,Agencija,https://romeoandjuliet.hr/,385989127402,info@romeoandjuliet.hr,"Ima izlistane vođene ture po okolici zadra, ponudit i pag"
15 Meridijan,Hotel,https://meridijan15.hr/,38523492200,hotel-meridijan@email.t-com.hr,
Pagus,Hotel,https://www.hotel-pagus.hr/,38552877300,info@rudan.com,
Plaža,Hotel,https://plazahotel.hr/,38523600855,info@plazahotel.hr,Renta bicikle
Belveder,Hotel,https://hotelbelveder.hr/,38523612564,info@hotelbelveder.hr,
Intermezzo,Hotel,https://www.hotelintermezzopag.hr/,38523629215,info@hotel-intermezzo.com,Nudi Bed&Bike ali ne nudi vođenu turu
Zane,Hotel,https://hotel-smokva.islandofpag.com/,38523321157,stoneislandpag@gmail.com,
Šimuni,Kamp,https://www.camping-simuni.hr/,38523697441,info@camping-simuni.hr,Renta i nudi vođene ture već
Avalona,Kamp,https://www.aminess.com/,38552858600,reservations@aminess.com,
Terra Park,Kamp,https://www.terrapark.hr/,3850911511956,info@rudan.com,Ista grupacija ko Pagus
